ISO,Language,Dialect,Genetics,Speakers,Method,Quantity,vowel,f1,f2,f3,y,country_ids,latitude,longitude,eng.prim
fin,Finnish,Helsinki,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,1,Wordlist,Long,i,229.0,2096.0,NA,TRUE,EE FI NO RU SE,64.7628,25.5577,FALSE
fin,Finnish,Helsinki,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,1,Wordlist,Long,u,300.0,574.0,NA,TRUE,EE FI NO RU SE,64.7628,25.5577,FALSE
fin,Finnish,Helsinki,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,1,Wordlist,Long,y,251.0,1701.0,NA,TRUE,EE FI NO RU SE,64.7628,25.5577,FALSE
fla,Montana Salish,NA,Salishan>SouthernInteriorSalish,2,Wordlist,Uniform,i,349.0,2062.0,2546,FALSE,US,47.5825,-114.19,TRUE
fla,Montana Salish,NA,Salishan>SouthernInteriorSalish,2,Wordlist,Uniform,u,355.0,1011.0,2265,FALSE,US,47.5825,-114.19,TRUE
fmp,Fe'fe',NA,NigerCongo>AtlanticCongo>BenueCongo>Bantoid>Southern>Grassfields>Eastern>Bamileke,1,Wordlist,Uniform,y,310.0,1530.0,NA,TRUE,CM,5.18158,10.1442,FALSE
fmp,Fe'fe',NA,NigerCongo>AtlanticCongo>BenueCongo>Bantoid>Southern>Grassfields>Eastern>Bamileke,1,Wordlist,Uniform,i,270.0,2220.0,NA,TRUE,CM,5.18158,10.1442,FALSE
fmp,Fe'fe',NA,NigerCongo>AtlanticCongo>BenueCongo>Bantoid>Southern>Grassfields>Eastern>Bamileke,1,Wordlist,Uniform,u,290.0,660.0,NA,TRUE,CM,5.18158,10.1442,FALSE
fod,Foodo,NA,NigerCongo>AtlanticCongo>VoltaCongo>Kwa>Nyo>PotouTano>Tano>Guang>North,2,Carrier sentence,Uniform,i,323.0,2103.0,XXX,FALSE,BJ TG,9.56489,1.40486,FALSE
fod,Foodo,NA,NigerCongo>AtlanticCongo>VoltaCongo>Kwa>Nyo>PotouTano>Tano>Guang>North,2,Carrier sentence,Uniform,u,365.0,771.0,XXX,FALSE,BJ TG,9.56489,1.40486,FALSE
fra,French,Quebec,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil,6,Wordlist,Uniform,u,260.0,745.0,NA,TRUE,AD BE CA CH FR GF IT LU MC PM US,48.0,2.0,FALSE
fra,French,Quebec,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil,6,Wordlist,Uniform,y,255.0,1825.0,NA,TRUE,AD BE CA CH FR GF IT LU MC PM US,48.0,2.0,FALSE
fra,French,Quebec,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil,6,Wordlist,Uniform,i,250.0,2055.0,NA,TRUE,AD BE CA CH FR GF IT LU MC PM US,48.0,2.0,FALSE
frr,North Frisian,Fering,IndoEuropean>Germanic>WestGermanic>AngloFrisian,10,Wordlist,Long,i,280.0,2208.0,2817,TRUE,DE DK,54.6409,8.58489,FALSE
frr,North Frisian,Fering,IndoEuropean>Germanic>WestGermanic>AngloFrisian,10,Wordlist,Long,u,307.0,761.0,2367,TRUE,DE DK,54.6409,8.58489,FALSE
