ISO	Language	Dialect	Genetics	Speakers	Method	Quantity	Harmony?	Vowels	Structure	Peripheral	Nonperipheral	V1OS	V1PS	V1F1	V1F2	V1F3	V1F4	V2OS	V2PS	V2F1	V2F2	V2F3	V2F4	V3OS	V3PS	V3F1	V3F2	V3F3	V3F4	V4OS	V4PS	V4F1	V4F2	V4F3	V4F4	V5OS	V5PS	V5F1	V5F2	V5F3	V5F4	V6OS	V6PS	V6F1	V6F2	V6F3	V6F4	V7OS	V7PS	V7F1	V7F2	V7F3	V7F4	V8OS	V8PS	V8F1	V8F2	V8F3	V8F4	V9OS	V9PS	V9F1	V9F2	V9F3	V9F4	V10OS	V10PS	V10F1	V10F2	V10F3	V10F4	V11OS	V11PS	V11F1	V11F2	V11F3	V11F4	V12OS	V12PS	V12F1	V12F2	V12F3	V12F4	V13OS	V13PS	V13F1	V13F2	V13F3	V13F4	V14OS	V14PS	V14F1	V14F2	V14F3	V14F4	F1Centroid	F1CentroidPosition	F1UCA	F2Centroid	F2CentroidPosition	F2UCA
evn	Solon	Yaohe	Altaic>Tungusic>Northern>Evenki	1	Wordlist	Long	Yes	10	8L2	8	2	i	i	345	2372	3255		e	e̝	398	2323	3090		ɪ	e	493	2133	2913		æ	ɛ̝	520	2085	2883		a	ɐ	673	1448	2575		ɔ	ɔ	615	1110	2372		ʊ	o	500	873	2442		u	u	365	775	2440		ə	ɤ	508	1138	2478		ɵ	ɵ	502	945	2385																										491.9	0.447865854	473.248	1520.2	0.466624922	1399.427
fin	Finnish	Standard	Uralic>FinnoUgric>FinnoPermic>FinnoVolgaic>FinnoLappic>BalticFinnic	5	Wordlist	Long	No	8	6L2	6	2	i		275	2495	3200		e		450	2240	2810		æ		690	1840	2650		ɑ		720	1240	2455		o		515	905	2430		u		340	605	2615		y		300	1995	2430		ø		455	1805	2465																																						484.6875	0.471207865	448.995	1631.875	0.543320106	1343.99
fin	Finnish	Standard	Uralic>FinnoUgric>FinnoPermic>FinnoVolgaic>FinnoLappic>BalticFinnic	5	Wordlist	Short	No	8	6L2	6	2	i		340	2355	2935		ɛ		500	2070	2685		æ		675	1825	2650		ɑ		710	1345	2505		ɔ		535	985	2425		ʊ		400	780	2555		y		340	1920	2415		œ		510	1705	2440																																						484.6875	0.471207865	448.995	1631.875	0.543320106	1343.99
fin	Finnish	Tampere	Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic	4	Meaningful sentence	Long	No	8	6L2	6	2	i		319	2155	3070	3712	e		468	1838	2904	3667	æ		578	1485	2535	3576	a		595	1287	2349	3462	o		482	1137	2315	3487	u		345	749	2258	3617	y		326	1633	2195	3509	ø		459	1608	2330	3513																																					454	0.485611511	427.698	1492.3125	0.528671764	1298.746
fin	Finnish	Tampere	Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic	4	Meaningful sentence	Short	No	8	6L2	6	2	ɪ		355	2064	2890	3598	ɛ		475	1802	2574	3542	æ		571	1503	2384	3469	a		597	1322	2207	3451	ɔ		488	1292	2230	3431	ʊ		375	831	2343	3407	ʏ		365	1620	2162	3463	ø		466	1551	2377	3496																																					454	0.485611511	427.698	1492.3125	0.528671764	1298.746
fin	Finnish	Standard	Uralic>FinnoUgric>FinnoPermic>FinnoVolgaic>FinnoLappic>BalticFinnic	4	Meaningful sentence	?	No	8	6L2	6	2	i		316	2195			e		440	1973			æ		591	1640			ɑ		614	1294			o		461	1000			u		325	815			y		316	1746			ø		440	1661																																							437.875	0.40897651	432.518	1540.5	0.525724638	1354.58
fin	Finnish	Helsinki	Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic	1	Wordlist	Long	No	8	6L2	6	2	i		229	2096			e̞		443	1889			æ		614	1568			ɑ		619	1131			o̞		478	831			u		300	574			y		251	1701			ø̞		436	1588																																							433.8125	0.510754364	385.791	1430.75	0.562910644	1169.102
fin	Finnish	Helsinki	Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic	1	Wordlist	Short	No	8	6R2a	6	2	i		287	1974			ɛ̝		465	1878			æ		630	1568			ɑ		621	1194			ɔ̝		499	879			u		327	843			y		287	1665			œ̝		455	1513																																							433.8125	0.510754364	385.791	1430.75	0.562910644	1169.102
fla	Montana Salish		Salishan>SouthernInteriorSalish	2	Wordlist	Uniform	No	5	5S0	5	0	i		349	2062	2546		e		510	1738	2396		a		683	1389	2434		o		540	994	2222		u		355	1011	2265																																																								487.4	0.414371257	479.594	1438.8	0.416479401	1411.588
fmp	Fe'fe'		NigerCongo>AtlanticCongo>BenueCongo>Bantoid>Southern>Grassfields>Eastern>Bamileke	1	Wordlist	Uniform	No	8	6R2a	6	2	i	i	270	2220			e	e̝	320	2280			a	a	920	1630			ɒ	ɒ	640	1070			ɔ	ɔ	600	1000			u	u	290	660			ʉ	ʏ	310	1530			ə	ɘ	350	1500																																							462.5	0.296153846	524.15	1486.25	0.510030864	1293.42
