iso,language,corpus,epitran_code
kaz,kazakh,kk-words.txt,kaz-Cyrl
mya,burmese,my-words.txt,mya-Mymr
som,somali,so-words.txt,som-Latn
tel,Telugu,te-words.txt,tel-Telu
tha,thai,th-words.txt,tha-Thai
