iso,language,corpus,phonemizer_language,phonemizer_backend
fra,French,fr-CA-words.txt,fr-fr,espeak
eng,English,en-US-words.txt,en-us,espeak
nor,norwegian,no-words.txt,nb,espeak
por,brazilian Portuguese,pt-BR-words.txt,pt-br,espeak
ron,romanian,ro-words.txt,ro,espeak
yue,cantonese,yue-words.txt,yue,espeak
swe,swedish,sv-words.txt,sv,espeak
