iso,language,corpus,phonemizer_language,phonemizer_backend
arg,Aragonese,an-words.txt,an,espeak
bul,Bulgarian,bg-words.txt,bg,espeak
cym,Welsh,cy-words.txt,cy,espeak
ekk,Estonian,ekk-words.txt,et,espeak
ell,Greek,el-words.txt,el,espeak
fin,Finnish,fi-words.txt,fi,espeak
kat,Georgian,kat-words.txt,ka,espeak
lav,Latvian,lv-words.txt,lv,espeak
lit,Lithuanian,lt-words.txt,lt,espeak
nep,Nepali,ne-words.txt,ne,espeak
shq,Albanian,sq-words.txt,sq,espeak
slk,Slovak,sk-words.txt,sk,espeak
